author_name,email,affiliation,coauthors_names,is_artificial_intelligence
Dave Osthus,lanl.gov,Los Alamos National Laboratory,nan,no
Waqas Javed,ge.com,nan,Niklas Elmqvist##Ji Soo Yi##Bum Chul Kwon##Anastasia Bezerianos##Pierre Dragicevic##Jean-Daniel Fekete##Pourang Irani##Naren Ramakrishnan##Keith N Hampton##Chih-Pin Hsiao,no
Anita Komlodi,umbc.edu,UMBC,gary marchionini##Catherine Plaisant##Károly Hercegfi##John Goodall##Máté Köles##Nadia Caidi##Penny Rheingans##Hámornik Balázs Péter##Allison Druin##Dagobert Soergel##Philip Resnik##Celeste Lyn Paul##Rahayu Ahmad##Alyson Leigh Young##Evan Golub Ph.D.##Laura Slaughter##Aqueasha Martin Hammond##Sarolta Tóvölgyi##Zeynep Tufekci##Péter Galambos,no
Balázs Lengyel,krtk.hu,nan,Ságvári Bence##Loet Leydesdorff##Janos Kertesz##Sándor Juhász##Izabella Szakálné Kanó##Rikard H. Eriksson##László Lőrincz##Imre Lengyel##Gergő Tóth##Zoltán Elekes##Riccardo Di Clemente##Eszter Bokányi##Johannes Wachs##Zsófia Vas##Han Woo PARK##Ron Boschma##Attila Varga##Vladislav Čadil##Marta C. Gonzalez##Zoltan Bajmocy,no
Jonathan I. Maletic,kent.edu,Kent State University,Michael L. Collard##Andrian Marcus##Huzefa Kagdi##Bonita Sharif##Natalia Dragan##Christian D. Newman##Michael John Decker##Andrew Sutton##Jane Huffman Hayes##Jane Cleland-Huang##Maen Hammad##Giuliano (Giulio) Antoniol##Louis Feng##Shehnaaz Kagdi (Yusuf)##Václav Rajlich##Nahla J. Abid##Alexander Egyed##Abdulkareem Alali##NOUH ALHINDAWI##Hakam W. Alomari,no
Patrick Rives,inria.fr,nan,Ezio Malis##Andrew I. Comport##François Chaumette##Geraldo Silveira##jose azinheira##Christopher Mei##Maxime Meilland##Samuel Siqueira Bueno##Alessandro Corrêa Victorino##Eduardo Fernandez-Moral##Selim BenHimane##José Reginaldo Hughes Carvalho##Pissard-Gibollet Roger##Dimitris P. Tsakiris##Claude Samson##Renato Martins##Tiago Gonçalves##David Filliat##Panagiotis Papadakis##Vicente Arévalo,no
Iñaki Esnaola,sheffield.ac.uk,University of Sheffield,nan,no
Dan Gruen,us.ibm.com,nan,nan,no
Chase Patrick Dowling,pnnl.gov,Pacific Northwest National Laboratory,Baosen Zhang##Lillian J. Ratliff##Tanner Fiez##Courtney (Court) Corley,yes
Ilias Tachtsidis,ucl.ac.uk,nan,Terence S Leung##Gemma Bale##David Thomas Highton##Xavier Golay##Paola Pinti##Chris Cooper##Antonia Hamilton##Felix Scholkmann##pw burgess,no
Rafael Prikladnicki,pucrs.br,Pontifícia Universidade Católica do Rio Grande do Sul,Tayana Conte##Roberto Evaristo##Cleidson R. B. de Souza##Filippo Lanubile##Afonso Sales##Gleison Santos##Michael da Costa Móra##César França##Fabio Q B da Silva##Claes Wohlin##Christiane Gresse von Wangenheim##Darja Šmite##Tore Dybå##Ivaldir Honório de Farias Junior##Luigi Buglione##Ricardo M. Czekster##Paulo Fernandes##Alberto Avritzer##João Porto de Albuquerque##Philippe Kruchten,no
Grazziela P. Figueredo,nottingham.ac.uk,University of Nottingham,Peer-Olaf Siebers##Uwe Aickelin##Jonathan M. Garibaldi##mohammad Mesgarpour##Helio José Corrêa Barbosa##Isaac Triguero Velázquez##Nelson F. F. Ebecken##Divish Rengasamy##Markus Owen##Dario Landa-Silva##Ning Xue##James Osborne##Helen Byrne##Brendan Ryan##Christian Wagner##Amanda Whitbrook##Philip Quinlan##Herve MORVAN##Lucy Fairclough##Daniele Soria,yes
Alexandre Gonçalves Silva,inf.ufsc.br,Federal University of Santa Catarina,Roberto A. Lotufo##Rangel Arthur##Marcelo da Silva Hounsell##Rafael Alceste Berri##Marlon Alcantara##Jacqueline M Lopes de Faria##Marcos de Sales Guerra Tsuzuki##Leticia Rittner##Milton Heinen##Adriano Fiorese##Leonardo Marques Rocha,no
Sean M. McNee,cs.umn.edu,University of Minnesota,Joseph A. Konstan##Shyong (Tony) Lam##Cai-Nicolas Ziegler##Dan Cosley,no
Bruce C. Hansen,colgate.edu,Colgate University,Robert F. Hess##Benjamin Thompson##Aaron Paul Johnson##Andrew Haun##Dave Ellemberg##Yufeng Zheng##Lester Loschky##Michelle R. Greene##Bruno Richard##Nikolaus F. Troje##Pavan Ramkumar##Dr. Xingfeng Li##Arnold K. Ho##Pamela Rakhshan Rouhakhtar##Kimberly Kirkpatrick##Spencer Kelly##David J. Field##Keith A. May,no
Alessandro Capucci,univpm.it,Marche Polytechnic University,nan,no
Steve Elliot,sydney.edu.au,University of Sydney,nan,no
Pei-Chann Chang,No verified email,nan,Chin-Yuan Fan (樊晉源)##Shih-Hsin Chen##T. Warren Liao##Jun-Lin Lin##Manoj Kumar Tiwari##Mani V##Chia-Yu Hsu##Qingfu Zhang##S. David Wu##Robert H. Storer##Rui Zhang##Celeste Ng##Hui Li##Jing Liu##T. C. E. Cheng##Jie Sun##Julie Yu-Chih Liu##Chien-lung Chan##Zhenzhen ZHANG##Mitsuo Gen,no
Tarek Kanan,zuj.edu.jo,Al Zaytooneh University of Jordan,Belal Hawashin - د. بلال حواشين##Edward Fox##Mohammed Elbes##Dr.Ayman M. Mansour##Shadi AlZubi##Mohamed Magdy Gharib Farag##Hamed Alhoori##Richard Furuta##sagnik ray choudhury##C Lee Giles##Adnan A. Hnaif##Ala Al-Fuqaha##Mahmoud Al-Ayyoub##Prof.Ismail Hmeidi##Xuan Zhang##Farshad Fotouhi##Thamer Rawashdeh##Mohammad A. Alia##Mohammed Lafi##Raed Kanaan,yes
Reza Soosahabi,keysight.com,nan,Mahdi Orooji##Nasim Nasirian##Anthony S. Maida,yes
J.M. Martínez Montiel,unizar.es,Universidad de Zaragoza,Javier Civera##Juan D. Tardós##Andrew Davison##Óscar García Grasa##Begoña Calvo##Dorian Gálvez-López##Antonio Agudo##José Neira##Hauke Strasdat##Luis Montano##Luis Riazuelo##Jose A. Castellanos##Michael Beetz##Raúl Mur-Artal##Marta Salas##René van de Molengraft##Raffaello D'Andrea##Luc Soler##christophe Doignon##Rob Janssen,no
Patrick Butler,vt.edu,Virginia Tech,Naren Ramakrishnan##M. Shahriar Hossain##Prithwish Chakraborty Ph.D.##Ali R. Butt,yes
Richard Huskey,ucdavis.edu,University of California Davis,Rene Weber##J. Michael Mangus##Ben Turner##Justin Robert Keene##Jacob Fisher##Shelby Wilcox##Allison Eden##Frederic R. Hopp##Ron Tamborini##Lindsay Hahn##Peter Khooshabeh##Ori Amir##Michael B Miller##Emily B. Falk##Bradly Alicea##Robin Nabi##Russell B. Clayton##Dar Meshi##Clare Grall##Ralf Schmälzle [Schmaelzle],no
John E. Downey,uchicago.edu,University of Chicago,Jennifer L Collinger##Michael Boninger##Elizabeth Tyler-Kabara##Andrew  B. Schwartz##Jeffrey M. Weiss##Robert A Gaunt##Sharlene Flesher##Brian Wodlinger,no
Carlos Bernal-Cárdenas,microsoft.com,Microsoft,Denys Poshyvanyk##Mario Linares-Vásquez##Kevin Moran##Massimiliano Di Penta##Gabriele Bavota##Rocco Oliveto##Christopher Vendome##Michele Tufano##Oscar Chaparro##Andrian Marcus##Boyang Li##Camilo Escobar-Velásquez,no
Brian Henderson-Sellers,uts.edu.au,University of Technology Sydney,nan,no
Zhenyu Wu,nec-labs.com,NEC Laboratories America Inc,Haining Wang##kangkook Jee##Junghwan "John" Rhee##Xusheng Xiao##Zhang Xu##Long Lu##Steven Gianvecchio##Wenke Lee##Kangjie Lu##Jianjun Huang##Vasileios P. Kemerlis##Xiangyu Zhang##Bo Zong##Peng Liu,no
Peter Turney,ronininstitute.org,nan,Saif M. Mohammad##Michael Littman##Patrick Pantel##David Nadeau##Preslav Nakov##Stanislaw Szpakowicz##Deniz Yuret##Vivi Nastase##Roxana Girju##Nada Lavrac##Yair Neuman##Stan Matwin##Victor Shnayder##Jeffrey P. Bigham##Peter Clark##Oyvind Tafjord##Oren Etzioni##Dan Assaf##Bonnie Dorr##Graeme Hirst,yes
Richard G. Everitt,warwick.ac.uk,University of Warwick,Daniel J Wilson##Tanya Golubchik##Xavier Didelot##Ruth R Miller##Elizabeth M Batty##Rory Bowden##Sarah Walker##Adam M. Johansen##Daniel John  Lawson##John Finney##Prof Martin Llewelyn##Zamin Iqbal##Andy Rimmer##Dennis Prangle##Teresa Street##Pierre Alquier##Nial Friel##Mark Briers##Simon Maskell##Adam Auton,no
Daniel Gmach,hp.com,nan,Anshul Gandhi##Christopher Stewart##Paul Holleis##Thomas Zimmermann##Xiaoyun Zhu,no
Rocco Oliveto,unimol.it,University of Molise,Andrea De Lucia##Gabriele Bavota##Massimiliano Di Penta##Denys Poshyvanyk##Fabio Palomba##Annibale Panichella##Genoveffa Tortora##Simone Scalabrino##Andrian Marcus##Fausto Fasano##Sebastiano Panichella##Mario Linares-Vásquez##Michele Lanza##Gerardo Canfora##Michele Tufano##Dave Binkley##Abdallah Qusef##Sonia Haiduc##Andy Zaidman##Carlos Bernal-Cárdenas,no
Thorhildur Hansdottir Jetzek,hi.is,University of Iceland,Niels Bjørn-Andersen##Michel Avital,no
Felipe Restrepo-Calle,unal.edu.co,Universidad Nacional de Colombia,Sergio Cuenca-Asensi##Antonio Martínez-Álvarez##Fabio Gonzalez##Hipólito Guzmán-Miranda##Miguel A. Aguirre##César Pedraza Bonilla##Jhon Jairo Ramírez-Echeverry##Almudena Lindoso##L Entrena##Alexander Aponte-Moreno##Jorge Camargo##Alejandro Serrano-Cases##José Iván Isaza González##Antonio Jimeno-Morenilla##Jairo Aponte##Fernanda Lima Kastensmidt##MARTA PORTELA GARCIA##Jorge Sofrony Esmeral##Jersson Xavier Leon-Medina (ORCiD:...##Diego Alexander  Tibaduiza Burgos (h...,no
Anders Avdic,avdic.se,nan,Mathias Hatakka##M Sirajul Islam,no
Walter Scheirer,nd.edu,University of Notre Dame,Terrance E. Boult##Dr. Anderson Rocha (Associate Profes...##David Cox##Sam English Anthony##Patrick J. Flynn##Joel Brogan##Kevin W. Bowyer##Aparna Bharati##Michael Milford##Daniel Moreira##Ken Nakayama##Assoc. Prof. Vitomir Struc##João Paulo Papa##Brandon RichardWebster##Peter Belhumeur##Archana Sapkota##Sreya Banerjee##Sandipan Banerjee##Neeraj Kumar##Michael Eckmann,yes
Reinhard Pichler,dbai.tuwien.ac.at,TU Wien,nan,no
Alvaro Pascual-Leone MD PhD,hsl.harvard.edu,nan,nan,no
Richard Watson,terry.uga.edu,University of Georgia,nan,no
Christoph Lütge,tum.de,Technical University of Munich,Ugo Pagallo##Alan R Wagner##Sean Welsh##Christoph Bartneck##Peggy Valcke##Burkhard Schafer##Virginia Dignum##Raja Chatila##Luciano Floridi##Effy Vayena##Josh Cowls##Matthias Uhl##Hannes Rusch##Ingo Pies##Johanna Jauernig##Julian F. Müller##Harsman Tandilittin##Timo Wollmershäuser##YANAN YANG##Eckart Voland,no
Luis C Gonzalez,uach.mx,Universidad Autónoma de Chihuahua,Ricardo Carlos##Manuel Montes-y-Gómez##Roberto Lopez-Santillan##Hugo Jair Escalante##Adrián Pastor López-Monroy##Anthony Fodor##Johan Wahlström##Dennis Livesay##Donald Jacobs##Miguel Angel Medina Pérez##Leonardo Trujillo##Denis Trystram,yes
Nestor V Queipo,ica.luz.edu.ve,University of Zulia,Luis E. Zerpa##Yi-Chung Lin##Juan A. Colmenares##Efrain Nava##Luis Javier Mena Camare##Luis Pineda,yes
François Chaumette,inria.fr,Inria,Eric Marchand##Youcef Mezouar##Ezio Malis##Fabien Spindler##Andrew I. Comport##Patrick Rives##seth hutchinson##Omar Tahri##Anthony Remazeilles##Nicolas Mansard##Paolo Robuffo Giordano##Andrea Cherubini##Willem Herman Steyn##Guglielmo Aglietti##Martinet P.##Siniša Šegvić##Peter Corke##Tarek Hamel##Robert Mahony##Flandin Grégory,no
Xiaoyun Zhu,No verified email,nan,Sharad Singhal##Zhikui Wang##Arif Merchant##Kang G. Shin##Xue (Steve) Liu##Vanish Talwar##Ramya Raghavendra##Niraj Tolia##Manish Marwah##Samuel Kounev##Martin Arlitt##Lei Lu##Kenneth Salem##Daniel Gmach##Julie Ward Drew##Ludmila  (Lucy) Cherkasova##Jin Heo##Simon Spinner##John Doyle##Kai-Yuan Hou,yes
Kobbi Nissim,georgetown.edu,Georgetown,Adam Smith##Uri Stemmer##Amos Beimel##Frank McSherry##Shiva Kasiviswanathan##Salil Vadhan##Sofya Raskhodnikova##Moni Naor##Yuval Ishai##Tal Malkin##Alexandra Wood##Benny Pinkas##Eu-Jin Goh##Jonathan Ullman##Michael J. Freedman##George Kollios##Thomas Steinke##Raef Bassily##Mark Bun##Marco Gaboardi,no
Hui Lu,binghamton.edu,SUNY Binghamton,Dongyan Xu##Cong Xu##Ramana KOMPELLA##Junghwan "John" Rhee##Cristian Lumezanu##Hongkai Xiong##Brendan D. Saltaformaggio##Zhihai He##Tsuhan Chen##Li Song##Yaozu Dong##umesh bellur##Abhinav Srivastava##Zhisheng Huang##Dongrong Xu,no
Chris W Clegg,leeds.ac.uk,nan,Patrick Waterson##Carolyn Axtell##Uwe Aickelin##Peer-Olaf Siebers##Chris Stride##Matthew C Davis##Malcolm G Patterson##Mark A. Robinson##Kamaljit S Birdi##Stephen Wood##Maura Sheehan##Jonathan Michie##Robin Martin##David Holman##John Cordery##Peter Warr##Richard Badham##Giuliana Battisti##Dharshana Jayewardene##Rafael de Hoyos,no
Robert E. Crossler,wsu.edu,Washington State University,France Belanger##Merrill Warkentin##Allen C. Johnston##Brad S. Trinkle##Qing Hu##Prof. Paul Benjamin Lowry##Richard Baskerville##Marc Dupuis##Dustin Ormond##James H. Long##Tina Loraas##Michael Hsiao##Gregory J. Bott##Jerry Park##Byron Marshall##John Correia##Robert Otondo##Francis Kofi Andoh-Baidoo##Heng Xu##Karthik Channakeshava,no
Markus Owen,nottingham.ac.uk,University of Nottingham,Helen Byrne##Philip Maini##Stephen Coombes##Tomas Alarcon##Malcolm Bennett##Claire E Lewis##Michael Wilson##Mark Lloyd##Matthias Reuss##Robert Gillies,no
James Dillard,psu.edu,Pennyslvania State Univerisity,nan,no
Shqiponja Ahmetaj,dbai.tuwien.ac.at,TU Wien,Mantas Šimkus##Magdalena Ortiz##Diego Calvanese##Wolfgang Fischl##Sebastian Skritek##Axel Polleres##Ronald Fagin##Phokion Kolaitis##Fatma Ozcan##Vasilis Efthymiou##Lucian Popa##Chuan Lei,yes
Sumi Helal IEEE Fellow AAAS Fellow IET Fellow Member of Academia Europaea,cise.ufl.edu,University of Florida,Raja Bose##Darrell Woelk##Diane J Cook##Youssef Kaddoura##Hen-I Yang##Jae Woong Lee##Bessam Abdulrazak##Jiangtao Wang##Ahmed EzzEldin Khaled##Duckki Lee##Yi Xu##Mounir Mokhtari##Kyungeun Cho##Hani Hagras##Anupam Joshi##My T. Thai##Paolo Bellavista##Carl K. Chang##Shinyoung Lim##Vipul Kashyap,no
Alex Dekhtyar,calpoly.edu,Cal Poly,Jane Huffman Hayes##Judy Goldsmith##V.S. Subrahmanian##Jane Cleland-Huang##Giuliano (Giulio) Antoniol##Jonathan I. Maletic##Michael Dekhtyar##David Cuddeback##Tim Menzies##Jeff Holden##Denys Poshyvanyk##Alain April##David Janzen##Michael Hilton##Chris Lupo,yes
Giuseppe Ielpa,mat.unical.it,University of Calabria,Wolfgang Faber##Nicola Leone##Giovambattista Ianni##Francesco Calimeri##Simona Perri##Christoph Koch##Georg Gottlob##Thomas Eiter##Dr Aleksej HEINZE##Axel Polleres##Rosita Guido##Domenico Conforti##Sotirios Zygiaris##Christos Kalantaridis##Giorgio Terracina##Francesco Ricca##Gianluigi Greco##Marco Maratea##Alex Avramenko##Anna Catalani,yes
David Eyre,bdi.ox.ac.uk,University of Oxford,Sarah Walker##Nicole Stoesser##Daniel J Wilson##Xavier Didelot##Tanya Golubchik##Timothy M Walker##Rory Bowden##John Finney##Elizabeth M Batty##Katie Jeffery##Teresa Street##Nicholas D Sanderson##Toby A. Eyre##M. Azim Ansari##Esther Robinson##Milind Acharya##Keith Jolley##Claudia Slimings (formerly Thomas)##Tony Korman,no
Yan Xu,ntu.edu.sg,Nanyang Technological University Singapore,ZhaoYang Dong##Junhua Zhao (赵俊华)##David John HILL##Fengji Luo##Zhao Xu##JING QIU,no
Prem Gopalan,cs.princeton.edu,nan,David Blei##Michael J. Freedman##Jennifer Rexford##Steve Ko##Matvey Arye##Panayiotis Mavrommatis##Kyle Jamieson##Jake Hofman##Francisco J. R. Ruiz##Laurent Charlin##Erik Nordström##David Mimno##Sean Gerrish##Rajesh Ranganath##John D. Storey##Wei Hao##Dae Il Kim##Erik B. Sudderth##Chong Wang##Seung Chul Han,yes
Kang Li,leeds.ac.uk,University of Leeds,George W Irwin##Jing Deng##Zhile Yang (杨之乐)##Aoife M. Foley##erwei bai##Adrian Kelly##Cheng Zhang##Kailong Liu##Chamil Abeykoon##Yuanjun GUO##Eileen Harkin-Jones##Marion McAfee##P D Coates##Xueqin Amy Liu##Peter Wieringa##Xiandong Xu##Javier Vera Sorroche##David Laverty##Mark Price##LONG ZHANG,no
Malcolm G Patterson,sheffield.ac.uk,nan,nan,no
Jack G. Conrad,thomsonreuters.com,Thomson Reuters,Frank Schilder##Jochen L. Leidner##Khalid Al-Kofahi##Katie Atkinson##Ravi Kondadadi##Floris Bex##christopher dozier##Sriharsha Veeramachaneni##George Karypis,no
Yesim Oniz,bilgi.edu.tr,Istanbul Bilgi University,nan,no
Rohini Srihari,buffalo.edu,University at Buffalo,nan,no
Claudia Slimings (formerly Thomas),anu.edu.au,Australian National University,Elina Hypponen##Naveed Sattar##Rebecca Hardy##Michaela Benzeval##Leah Li##Claire Nightingale##Alicja Rudnicka##Chris Owen##Linda Selvey##Richard Silverwood##Dorothea Nitsch##Helen Leonard##Kristjana Einarsdóttir##Karina Kennedy##Leon Worth##Michael Richards##Brett G Mitchell##Alun Hughes##Emily T Murray PhD FHEA##David Eyre,no
Richard D Watson,usq.edu.au,University of Southern Queensland,Mark Toleman##Stijn Dekeyser##Tim Comber##Jan Hidders,no
Staša Milojević,indiana.edu,Indiana University,Ying Ding##Loet Leydesdorff##Katy Borner##Filippo Radicchi##Erjia Yan##Santo Fortunato##Vincent Larivière##Jasleen Kaur##Selma Sabanovic##Judit Bar-Ilan,no
Hilary Hutchinson,google.com,Google,nan,no
Andrea Passerini,disi.unitn.it,University of Trento,Paolo Frasconi##Stefano Teso##Roberto Battiti##Luc De Raedt##Marco Lippi##Alessio Ceroni##Paolo Dragone##Paolo Morettin##Elisa Cilia##Guy Van den Broeck##Roberto Sebastiani##Niels Landwehr##Fausto Giunchiglia##Massimiliano Pontil##Burkhard Rost##Alessandro Quattrone##Manfred Jaeger##Bruno Lepri,yes
Kai-Yuan Hou,umich.edu,University of Michigan Ann Arbor,nan,no
Rodrigo Yuji Mizobe Nakamura,fc.unesp.br,Unesp,João Paulo Papa##Luís A. M. Pereira##Xin-She Yang (DPhil)##Falcao A.X.##Jefersson A. dos Santos##Ricardo da Silva Torres##Fábio Cappabianco##Alexandre Levada##Pedro J. de Rezende##Eduardo R. Hruschka##Pedro H. Calais Guerra,no
Alexandre Levada,ufscar.br,Universidade Federal de São Carlos,nan,no
Marcos de Sales Guerra Tsuzuki,usp.br,Universidade de São Paulo,Thiago Martins##Andre Kubagawa Sato,no
João Manuel R. S. Tavares,fe.up.pt,Universidade do Porto,Renato Natal Jorge##Francisco P M Oliveira##Zhen Ma##João Paulo Papa##Andreia S. P. Sousa##Jorge G. Barbosa##Nilanjan Dey##Roberta Barbosa Oliveira##Rubim Santos##Alex F. de Araujo##Maria João M. Vasconcelos##Pedro Pedrosa Rebouças Filho##Amira S. Ashour##Paulo Cortez##Miguel V. Correia##Falcao A.X.##Marco Parente##Teresa Azevedo Terroso##L.A. Rocha##Patrícia Carla Teixeira Gonçalves,no
Tomas Alarcon,crm.cat,Centre de Recerca Matematica,Philip Maini##Helen Byrne##Javier A. Menéndez (ORCID:0000-000...##Elisabet Cuyàs Navarro##Markus Owen##Jorge Joven##Pilar Guerrero##Karen Page##Aurora Hernandez-Machado##Fabian Spill##AGUSTI PEREZ MADRID##Mark Lloyd##J. Miguel Rubi##Matthias Reuss##Alejandro Vazquez-Martin##Rubén Pérez-Carrasco##Claudia A. Trejo Soto##Robert Gillies##Daniel Sanchez-Taltavull##Josep Sardanyés,no
George W Irwin,qub.ac.uk,Queens University Belfast,Kang Li##William Scanlon##Kevin Warwick##Jing Deng##Xia Hong##C J Harris,no
Kibum Kim,hanyang.ac.kr,Hanyang University,nan,no
Dario Brescianini,sony.com,nan,Raffaello D'Andrea##Markus Hehn##Davide Scaramuzza##Mathias Gehrig##Philipp Foehn##Elia Kaufmann##Titus Cieslewski##Manasi Muglikar,yes
Lutz Schröder,cs.fau.de,Friedrich-Alexander-Universität Erlangen-Nürnberg,Dirk Pattinson##Till Mossakowski##Stefan Milius##Sergey Goncharov##Markus Roggenbach##Carsten Lutz##Udo Frese##Jean Christoph Jung##Víctor Gutiérrez Basulto##René Wagner##Andrzej Tarlecki##Alexander Kurz##Christoph Lüth##tadeusz litak##Bartek Klin##Barbara König##Michael Kohlhase##Katsuhiko Sano##Corina Cirstea##Merlin Göttlinger,no
Professor Associado Cecílio Viega Soares Filho,unesp.br,São Paulo State University,Reges Heinrichs##Ulysses Cecato##Adônis Moreira##Joao Vendramini##Francisco Antonio Monteiro##Carolina Bonini##Maria Lucia Silveira##Lynn Sollenberger##Marcos Franke Pinto##Ricardo Andrade Reis##Ricardo Costa##Garcia-Neto Manoel##Ana Maria Rodrigues Cassiolato##Philipe Moriel##Paulo Alexandre Monteiro de Figueire...##Geraldo Tadeu Dos Santos##Cloves Cabreira Jobim##Ricardo da Fonseca##DANIEL DE J. CARDOSO DE OLIVEIRA##Katia Denise Saraiva Bresciani,no
Mohammad Arif Ul Alam,uml.edu,University of Massachusetts Lowell,Nirmalya Roy##Sheikh Iqbal Ahamed##Aryya Gangopadhyay##Chu William##Rong Ge##Martin Burtscher##Dr Archan MISRA _##Nilavra Pathak##Marta T. Magiera##Niharika Jain##Norah Johnson##Wang Hu##Endadul Hoque##Drew Williams##Weixun Wang,no
Mehdi Roopaei,uwplatt.edu,University of Wisconsin-Platteville,Mansoor Zolghadri Jahromi##Sos Agaian##Bijan Ranjbar-Sahraei##Navid Noroozi##Hassan Adloo##David Akopian##Robert John##Mehdi Fatemi##Sos Agaian (Agayan),no
Carolyn Axtell,sheffield.ac.uk,University of Sheffield,nan,no
Hugo Larochelle,google.com,Google,Yoshua Bengio##Aaron Courville##Pascal Vincent##Ryan P. Adams##Chris Pal##Pierre-Antoine Manzagol##Jasper Snoek##Pascal Lamblin##Pierre-Marc Jodoin##Mario Marchand##François Laviolette##Mohammad Havaei##Iain Murray##Sachin Ravi##Richard Zemel##Dumitru Erhan##Atousa Torabi##Nicolas Ballas##Jerome Louradour##Stanislas Lauly,yes
Nikhil Mahadevan,pfizer.com,Pfizer Inc,nan,no
Jina Huh (Huh-Yoo),drexel.edu,Drexel University,Wanda Pratt##Mark Ackerman##Andrea L. (Civan) Hartzler##David W. McDonald##Bum Chul Kwon##Albert Park##Jaegul Choo##Ji Soo Yi##Sung-Hee Kim##Sukwon Lee##Meliha Yetisgen##Kori Inkpen##Leslie S. Liu##Thomas Erickson##Wei Peng##Minje Choi##Shaheen Kanthawala##Xiaoqian Jiang##R K E Bellamy##Wendy A. Kellogg,no
Denae Ford,microsoft.com,nan,Chris Parnin##Thomas Zimmermann##Nachiappan Nagappan##Paige Rodeghero##Alexander Serebrenik##Emerson Murphy-Hill##Titus Barik##Margaret-Anne Storey##Justin Smith##Brittany I. Johnson##Christian Bird##Mahnaz Behroozi##Philip Guo##Laura Dabbish##Reed Milewicz##Rahul Pandita##Sarah Heckman##David Lo##Chandra Maddila##Fannie Liu,no
Vasco Amaral,fct.unl.pt,NOVA University of Lisbon,Miguel Goulão##Bruno Barroca##Ankica Barišić##Joao Araujo##Ana Moreira##Mauricio Alferez##Uirá Kulesza##Paulo Carreira##Levi Lucio##Didier Buchs##Sven Helmer##Matteo Risoldi##Guido Moerkotte##Antonio Amorim##Hans Vangheluwe##Cláudio Ângelo Gonçalves Gomes##Manuel Wimmer##Antonio Vallecillo##Alexander Egyed##Jordi Cabot,no
Fei Shu,mail.mcgill.ca,McGill University,Vincent Larivière##Charles-Antoine Julien##Philippe Mongeon##Stefanie Haustein##Elise Smith##Juan Pablo Alperin##Kyle Siler##Jesse David Dinneen##Adèle Paul-Hus##jamshid beheshti##Emily Sheepy,no
Zhuo Chen,csiro.au,CSIRO,Branka Vucetic##Jinhong Yuan##Yonghui Li##Peng Cheng##Iain Collings##Hajime Suzuki##Zhendong Zhou##Jian (Andrew) Zhang##Maged Elkashlan##Douglas B. Hayman##Prof. Y. Jay Guo##Wei Ni##Phee Lep Yeoh##Yun Rui##Frank de Hoog##Chang Kyung Sung##Jun Li##Ingmar Land##Meixia Tao##Yi Hong,yes
Siome Goldenstein,google.com,Google,Dr. Anderson Rocha (Associate Profes...##Jacques Wainer##Dimitris N. Metaxas##Zanoni Dias##Christian Vogler##Luiz Velho##Eduardo Valle##Herbert F Jelinek##Ricardo da Silva Torres##Tiago Carvalho Ph.D.##Sandra Avila##Vanessa Testoni PhD##Luiz César Martini##Gabriel Taubin##Fernanda Andaló Ph.D.##Felipe Leonel Grijalva Arévalo (ORCI...##Fernando de Goes##Cecilia Baranauskas##Dinei Florencio##Daniel Hauagge,no
Vivek K. Singh,mit.edu,nan,Ramesh Jain##Alex `Sandy' Pentland##Pradeep Atrey##Mohan Kankanhalli##Erez Shmueli##Dhiraj Joshi##Hamed Pirsiavash##Jiebo Luo##K. R. Ramakrishnan##Tat-Seng Chua##Mukesh Kumar Saini##Benoit Huet##Marco Paleari##Aditi Majumder,no
Ramy Eskander,columbia.edu,Columbia University,Nizar Habash##Owen Rambow##Mohamed Al-Badrashiny##Mona Diab##Arfath Pasha##Ryan Roth##Nadi Tomeh##Smaranda Muresan##Abdelati Hawwari##Wael Salloum##Seth Kulick##Judith Klavans##Mohammed Attia##Heba Elfardy##Maryam Aminian##Pradeep Dasigi##Stephen Grimes Ph.D.##Mohammad Salameh##Houda Bouamor PhD##Nasser Zalmout,no
Nicolas Roussel,inria.fr,Inria,Géry Casiez##Stéphane Conversy##Michel Beaudouin-Lafon##Wendy E. Mackay##Olivier Chapuis##Thomas Pietrzak##Catherine Plaisant##Hilary Hutchinson##Bo Westerlund##Daniel Vogel##Benjamin B. Bederson##Allison Druin##Anatole Lécuyer##Andéol Evain##Jonathan Aceituno##Ferran Argelaguet##Frédéric Giraud##Alix Goguey##Fanny Chevalier##Hakim SI-MOHAMMED,no
Byron Cook,cs.ucl.ac.uk,UCL,Josh Berdine##Andreas Podelski##Andrey Rybalchenko##Peter O'Hearn##Nir Piterman##Thomas Ball##Daniel Kroening##John Launchbury##Dino Distefano##Moshe Y. Vardi##Samin Ishtiaq##Mooly Sagiv##Sriram Rajamani##Hongseok Yang##Natasha Sharygina##Carsten Fuhs##Jasmin Fisher##Stephen Magill##Shuvendu Lahiri##Marc Brockschmidt,no
Yong Ge,email.arizona.edu,University of Arizona,nan,yes
Chris Jay Hoofnagle,berkeley.edu,University of California,Nathan Good##Jennifer King PhD##Joseph Turow##Amy Bleakley##Jan Whittington##Daniel Solove##Quentin Mayo##Aaron Perzanowski##Jens Grossklags##Michael Waidner##Ioannis Krontiris##B. van der Sloot##Damon McCoy##Alvaro A. Cardenas##John Chuang##Svetlana Radosavac##Guda van Noort##Natali Helberger##Sophie C. Boerman##Mark Hoofnagle,no
